Open Time,Open,High,Low,Close,Close Time
2022-09-15 00:18:00,205.83000000,205.83000000,205.83000000,205.83000000,2022-09-15 00:18:59.999
2022-09-15 00:19:00,206.09000000,206.09000000,206.09000000,206.09000000,2022-09-15 00:19:59.999
2022-09-15 00:20:00,206.09000000,206.12000000,205.96000000,206.12000000,2022-09-15 00:20:59.999
2022-09-15 00:21:00,206.20000000,206.20000000,206.00000000,206.00000000,2022-09-15 00:21:59.999
2022-09-15 00:22:00,206.00000000,206.06000000,206.00000000,206.00000000,2022-09-15 00:22:59.999
2022-09-15 00:23:00,206.00000000,206.03000000,206.00000000,206.03000000,2022-09-15 00:23:59.999
2022-09-15 00:24:00,206.01000000,206.07000000,206.01000000,206.07000000,2022-09-15 00:24:59.999
2022-09-15 00:25:00,206.08000000,206.18000000,206.08000000,206.18000000,2022-09-15 00:25:59.999
2022-09-15 00:26:00,206.04000000,206.40000000,205.98000000,206.22000000,2022-09-15 00:26:59.999
2022-09-15 00:27:00,206.23000000,206.33000000,206.23000000,206.30000000,2022-09-15 00:27:59.999
2022-09-15 00:28:00,206.26000000,206.26000000,206.26000000,206.26000000,2022-09-15 00:28:59.999
2022-09-15 00:29:00,206.25000000,206.42000000,205.60000000,205.77000000,2022-09-15 00:29:59.999
2022-09-15 00:30:00,205.65000000,205.92000000,205.65000000,205.73000000,2022-09-15 00:30:59.999
2022-09-15 00:31:00,205.84000000,205.93000000,205.80000000,205.80000000,2022-09-15 00:31:59.999
2022-09-15 00:32:00,205.73000000,205.85000000,205.73000000,205.85000000,2022-09-15 00:32:59.999
2022-09-15 00:33:00,205.72000000,205.72000000,205.40000000,205.40000000,2022-09-15 00:33:59.999
2022-09-15 00:34:00,205.40000000,205.45000000,205.19000000,205.44000000,2022-09-15 00:34:59.999
2022-09-15 00:35:00,205.34000000,205.34000000,205.33000000,205.33000000,2022-09-15 00:35:59.999
2022-09-15 00:36:00,205.29000000,205.29000000,204.97000000,205.29000000,2022-09-15 00:36:59.999
2022-09-15 00:37:00,205.28000000,205.61000000,205.23000000,205.61000000,2022-09-15 00:37:59.999
2022-09-15 00:38:00,205.61000000,205.61000000,205.61000000,205.61000000,2022-09-15 00:38:59.999
